Date,Close,Predictions
2015-07-09,186.54,189.83618
2015-07-10,190.31,188.96437
2015-07-13,191.12,188.3585
2015-07-14,192.81,188.012
2015-07-15,193.54,187.96976
2015-07-16,193.69,188.17168
2015-07-17,193.64,188.52469
2015-07-20,193.33,188.94539
2015-07-21,192.68,189.35791
2015-07-22,193.46,189.69179
2015-07-23,192.12,190.00482
2015-07-24,192.01,190.18987
2015-07-27,191.71,190.27574
2015-07-28,192.87,190.2719
2015-07-29,193.33,190.29015
2015-07-30,193.56,190.3505
2015-07-31,193.58,190.44958
2015-08-03,193.21,190.56847
2015-08-04,193.58,190.66733
2015-08-05,194.72,190.77248
2015-08-06,193.47,190.95047
2015-08-07,192.41,191.07617
2015-08-10,194.17,191.09143
2015-08-11,194.86,191.15561
2015-08-12,193.89,191.28903
2015-08-13,194.22,191.39159
2015-08-14,194.39,191.4925
2015-08-17,193.9,191.59587
2015-08-18,194.79,191.66031
2015-08-19,194.28,191.75688
2015-08-20,193.67,191.8308
2015-08-21,191.54,191.84554
2015-08-24,186.54,191.67857
2015-08-25,186.67,191.07364
2015-08-26,186.18,190.24951
2015-08-27,186.68,189.30688
2015-08-28,187.31,188.38872
2015-08-31,186.17,187.5916
2015-09-01,183.28,186.85034
2015-09-02,184.47,186.00548
2015-09-03,183.19,185.23666
2015-09-04,180.54,184.47926
2015-09-08,184.65,183.60657
2015-09-09,185.0,182.99648
2015-09-10,186.46,182.60979
2015-09-11,186.03,182.48988
2015-09-14,185.54,182.51741
2015-09-15,184.71,182.60477
2015-09-16,186.83,182.66805
2015-09-17,187.12,182.85178
2015-09-18,186.19,183.11388
2015-09-21,186.84,183.34575
2015-09-22,184.25,183.58684
2015-09-23,183.28,183.6426
2015-09-24,183.0,183.51562
2015-09-25,183.07,183.26219
2015-09-28,181.8,182.94997
2015-09-29,181.48,182.53749
2015-09-30,181.4,182.07094
2015-10-01,181.41,181.59714
2015-10-02,181.83,181.15222
2015-10-05,182.41,180.78426
2015-10-06,183.0,180.5286
2015-10-07,183.78,180.4004
2015-10-08,183.99,180.4132
2015-10-09,183.97,180.52771
2015-10-12,184.19,180.69745
2015-10-13,182.54,180.90468
2015-10-14,183.85,181.01105
2015-10-15,184.08,181.1342
2015-10-16,184.44,181.27151
2015-10-19,184.76,181.4323
2015-10-20,185.09,181.61806
2015-10-21,184.88,181.82884
2015-10-22,185.7,182.02701
2015-10-23,185.93,182.25867
2015-10-26,185.78,182.50983
2015-10-27,184.3,182.74649
2015-10-28,184.83,182.85976
2015-10-29,185.39,182.92401
2015-10-30,186.1,182.98834
2015-11-02,186.11,183.09515
2015-11-03,186.68,183.2222
2015-11-04,186.89,183.39232
2015-11-05,185.1,183.59184
2015-11-06,185.29,183.67729
2015-11-09,186.12,183.69978
2015-11-10,186.21,183.73456
2015-11-11,186.87,183.7795
